seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.064802,0.018871,0.018662,0,0
2,2,3,0.021601,0.016376,0.016376,0,0
3,2,4,0.034,0.0088737,0.0088737,0,0
4,4,5,0.034,0.0076164,0.0069821,0,0
5,4,6,0.094,0.005078,0.0043793,0,0
6,5,7,0.149,0.0023488,0.001715,0,0
7,5,8,0.422,0.0069821,0.0029956,0,0
8,8,9,0.235,0.0016502,0.00131,0,0
9,8,10,0.067,0.0027292,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,3.7266e-11,9.7941e+09
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.0036185,0.002633,0,0
13,6,14,0.041,0.0031739,0.002756,0,0
14,3,15,0.039,0.015742,0.015742,0,0
15,3,16,0.139,0.0046976,0.0040943,0,0
16,16,17,0.178,0.0033646,0.002511,0,0
17,16,18,0.041,0.0029831,0.002633,0,0
18,15,19,0.052,0.013964,0.012682,0,0
19,15,20,0.034,0.0069821,0.0063477,0,0
20,20,7,0.148,0.0023488,0.001715,0,0
21,20,22,0.422,0.005903,0.0029956,0,0
22,22,23,0.235,0.0016502,0.00131,0,0
23,22,24,0.067,0.0027292,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,3.7266e-11,9.7941e+09
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.0015237,0.00147,3.3779e-10,1.6936e+09
27,19,28,0.104,0.011044,0.0090137,0,0
28,28,29,0.053,0.0077439,0.0077439,0,0
29,28,30,0.02,0.004824,0.004824,0,0
30,30,31,0.01,0.0038082,0.003674,0,0
31,30,32,0.071,0.0036818,0.003368,6.7602e-11,4.6775e+09
32,31,33,0.066,0.002939,0.002939,1.7324e-10,1.9486e+09
33,31,34,0.063,0.002449,0.002449,1.3137e-10,2.5816e+09
34,29,35,0.059,0.0038082,0.003674,2.7437e-10,1.2211e+09
35,29,36,0.01,0.00749,0.00749,0,0
36,36,37,0.032,0.0033003,0.003184,4.3695e-10,8.3734e+08
37,36,38,0.01,0.007236,0.007236,0,0
38,38,39,0.032,0.0033003,0.003184,4.3695e-10,8.3734e+08
39,38,40,0.106,0.0069821,0.0067281,0,0
40,40,41,0.05,0.0020316,0.00196,7.8086e-11,4.3412e+09
41,40,42,0.01,0.0066017,0.0063477,0,0
42,42,44,0.058,0.0046716,0.0044436,0,0
43,42,43,0.059,0.0046716,0.0044436,0,0
44,44,45,0.144,0.0035543,0.003307,0,0
45,44,46,0.05,0.0033438,0.003226,6.9992e-11,4.5331e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,1.1323e-10,3.4353e+09
48,47,49,0.321,0.001898,0.001715,1.4734e-10,2.6317e+09
49,47,50,0.343,0.001592,0.001408,9.9311e-11,3.971e+09
50,43,51,0.145,0.0035543,0.003307,0,0
51,43,52,0.05,0.0033438,0.003226,6.9992e-11,4.5331e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,1.1323e-10,3.4353e+09
54,53,55,0.322,0.001898,0.001715,1.4772e-10,2.6264e+09
55,53,56,0.344,0.001592,0.001408,9.9565e-11,3.9631e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,1.4782e-11,7.2524e+09
63,59,63,0.059,0.001225,0.001102,1.4782e-11,7.2524e+09
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,1.8266e-11,5.8159e+09
70,70,72,0.07,0.001225,0.001225,1.8266e-11,5.8159e+09
71,68,73,0.008,0.001837,0.001715,0,0
72,73,74,0.071,0.001225,0.001225,1.8266e-11,5.8159e+09
73,73,75,0.07,0.001225,0.001225,1.8266e-11,5.8159e+09
74,67,76,0.024,0.001102,0.001041,1.3191e-11,8.1673e+09
75,67,69,0.004,0.000796,0.000796,0,0
76,69,77,0.024,0.001102,0.001041,1.3191e-11,8.1673e+09
77,13,60,0.011,0.002633,0.002388,0,0
78,13,78,0.011,0.000612,0.000306,2.1214e-12,1.7429e+11
79,17,61,0.011,0.002633,0.002388,0,0
80,17,79,0.011,0.000612,0.000306,2.1214e-12,1.7429e+11
81,14,80,0.061,0.002449,0.002143,0,0
82,14,81,0.101,0.001715,0.001715,6.6634e-11,5.1661e+09
83,18,82,0.061,0.002449,0.002143,0,0
84,18,83,0.101,0.001347,0.00098,2.1758e-11,1.6241e+10
85,80,84,0.061,0.00196,0.001837,0,0
86,80,85,0.091,0.001347,0.000612,8.4854e-12,4.2555e+10
87,82,86,0.061,0.00196,0.001837,0,0
88,82,87,0.091,0.001347,0.000612,8.4854e-12,4.2555e+10
89,84,88,0.1,0.001347,0.000857,1.6639e-11,2.1375e+10
90,84,89,0.101,0.001347,0.000857,1.6639e-11,2.1375e+10
91,86,90,0.1,0.001347,0.000857,1.6639e-11,2.1375e+10
92,86,91,0.101,0.001347,0.000857,1.6639e-11,2.1375e+10
93,64,92,0.036,0.000919,0.000796,7.7124e-12,1.4288e+10
94,64,66,0.004,0.002327,0.002327,0,0
95,65,93,0.036,0.000919,0.000796,7.7124e-12,1.4288e+10
96,65,68,0.004,0.002327,0.002327,0,0
97,9,94,0.03,0.000703,0.000703,0,0
98,9,95,0.01,0.001217,0.001217,0,0
99,12,96,0.03,0.00147,0.00147,0,0
100,12,97,0.01,0.001911,0.001911,0,0
101,95,97,0.01,0.001106,0.001106,0,0
102,95,98,0.03,0.000998,0.000998,2.9855e-11,1.231e+10
103,97,99,0.03,0.001531,0.001531,7.026e-11,5.0963e+09
104,94,100,0.015,0.000703,0.000703,1.4814e-11,2.5334e+10
105,96,101,0.025,0.00147,0.00147,6.4773e-11,5.5409e+09
106,94,96,0.03,0.000806,0.000806,0,0
107,23,102,0.03,0.000703,0.000703,0,0
108,23,103,0.01,0.001217,0.001217,0,0
109,26,104,0.03,0.00147,0.00147,0,0
110,26,105,0.01,0.001911,0.001911,0,0
111,103,105,0.01,0.001106,0.001106,0,0
112,103,106,0.03,0.000998,0.000998,2.9855e-11,1.231e+10
113,105,107,0.03,0.001531,0.001531,7.026e-11,5.0963e+09
114,102,108,0.015,0.000703,0.000703,1.4814e-11,2.5334e+10
115,104,109,0.025,0.00147,0.00147,6.4773e-11,5.5409e+09
116,102,104,0.03,0.000806,0.000806,0,0
